datetime,open,close,high,low,value,volume,begin,end
2025-04-11 10:00:00,2823.11,2828.29,2836.42,2815.32,14031459848.890001,0,2025-04-11 10:00:00,2025-04-11 10:59:59
2025-04-11 11:00:00,2828.29,2810.43,2828.57,2806.63,12969375168.36,0,2025-04-11 11:00:00,2025-04-11 11:59:59
2025-04-11 12:00:00,2810.43,2824.25,2828.49,2807.88,7199128427.82,0,2025-04-11 12:00:00,2025-04-11 12:59:59
2025-04-11 13:00:00,2824.32,2831.94,2837.63,2821.67,7441431262.209999,0,2025-04-11 13:00:00,2025-04-11 13:59:59
2025-04-11 14:00:00,2832.0,2821.74,2839.28,2815.81,7877077061.590004,0,2025-04-11 14:00:00,2025-04-11 14:59:59
2025-04-11 15:00:00,2821.86,2827.06,2829.56,2805.71,7092192787.159996,0,2025-04-11 15:00:00,2025-04-11 15:59:59
2025-04-11 16:00:00,2826.96,2807.54,2827.49,2802.28,7412402104.860001,0,2025-04-11 16:00:00,2025-04-11 16:59:59
2025-04-11 17:00:00,2807.39,2814.38,2817.2,2800.69,4561503541.730003,0,2025-04-11 17:00:00,2025-04-11 17:59:59
2025-04-11 18:00:00,2814.4,2829.92,2834.81,2814.32,6444986343.080002,0,2025-04-11 18:00:00,2025-04-11 18:54:01
2025-04-14 09:00:00,2848.99,2848.69,2852.73,2847.25,842273513.92,0,2025-04-14 09:00:00,2025-04-14 09:59:59
2025-04-14 10:00:00,2848.77,2839.18,2850.84,2835.82,8344191755.57,0,2025-04-14 10:00:00,2025-04-14 10:59:59
2025-04-14 11:00:00,2839.08,2850.59,2853.69,2833.9,7946385088.860001,0,2025-04-14 11:00:00,2025-04-14 11:59:59
2025-04-14 12:00:00,2850.68,2846.51,2851.95,2840.31,5358506169.199999,0,2025-04-14 12:00:00,2025-04-14 12:59:59
2025-04-14 13:00:00,2846.49,2844.13,2856.63,2841.91,5293031726.77,0,2025-04-14 13:00:00,2025-04-14 13:59:59
2025-04-14 14:00:00,2844.14,2838.92,2844.62,2837.31,4055613557.1500015,0,2025-04-14 14:00:00,2025-04-14 14:59:59
2025-04-14 15:00:00,2838.9,2821.96,2840.92,2819.82,6746874811.860001,0,2025-04-14 15:00:00,2025-04-14 15:59:59
2025-04-14 16:00:00,2822.08,2808.24,2824.87,2806.95,8223400320.720001,0,2025-04-14 16:00:00,2025-04-14 16:59:59
2025-04-14 17:00:00,2808.34,2833.36,2835.48,2807.9,6350459777.709999,0,2025-04-14 17:00:00,2025-04-14 17:59:59
2025-04-14 18:00:00,2833.38,2819.69,2834.3,2818.73,3504281946.3600006,0,2025-04-14 18:00:00,2025-04-14 18:54:02
2025-04-15 09:00:00,2824.64,2823.0,2826.19,2822.06,670747232.61,0,2025-04-15 09:00:00,2025-04-15 09:59:59
2025-04-15 10:00:00,2823.06,2821.17,2836.0,2819.36,8776884648.400002,0,2025-04-15 10:00:00,2025-04-15 10:59:59
2025-04-15 11:00:00,2821.2,2814.27,2824.6,2806.58,5785278397.92,0,2025-04-15 11:00:00,2025-04-15 11:59:59
2025-04-15 12:00:00,2814.33,2810.81,2825.64,2809.11,5252229130.860001,0,2025-04-15 12:00:00,2025-04-15 12:59:59
2025-04-15 13:00:00,2810.81,2805.76,2813.54,2801.12,4250005509.1100006,0,2025-04-15 13:00:00,2025-04-15 13:59:59
2025-04-15 14:00:00,2805.94,2798.46,2807.96,2788.26,7342679439.129997,0,2025-04-15 14:00:00,2025-04-15 14:59:59
2025-04-15 15:00:00,2798.46,2808.55,2813.02,2791.46,5855565079.260002,0,2025-04-15 15:00:00,2025-04-15 15:59:59
2025-04-15 16:00:00,2808.58,2811.43,2817.58,2804.4,5072498490.68,0,2025-04-15 16:00:00,2025-04-15 16:59:59
2025-04-15 17:00:00,2811.51,2815.45,2827.04,2806.63,7134435488.369995,0,2025-04-15 17:00:00,2025-04-15 17:59:59
2025-04-15 18:00:00,2815.46,2805.55,2817.14,2802.84,2808889160.130005,0,2025-04-15 18:00:00,2025-04-15 18:54:01
2025-04-16 09:00:00,2801.01,2798.28,2803.98,2797.63,876835025.93,0,2025-04-16 09:00:00,2025-04-16 09:59:59
2025-04-16 10:00:00,2798.27,2803.28,2808.12,2796.06,5095892320.309999,0,2025-04-16 10:00:00,2025-04-16 10:59:59
2025-04-16 11:00:00,2803.35,2814.47,2821.81,2790.7,9410494424.74,0,2025-04-16 11:00:00,2025-04-16 11:59:59
2025-04-16 12:00:00,2814.5,2824.44,2831.63,2811.15,6883226490.16,0,2025-04-16 12:00:00,2025-04-16 12:59:59
2025-04-16 13:00:00,2823.94,2831.37,2835.77,2823.94,6017919132.560001,0,2025-04-16 13:00:00,2025-04-16 13:59:59
2025-04-16 14:00:00,2831.27,2837.05,2840.89,2826.34,4919682997.799999,0,2025-04-16 14:00:00,2025-04-16 14:59:59
2025-04-16 15:00:00,2837.16,2835.5,2838.51,2827.78,4777371219.370003,0,2025-04-16 15:00:00,2025-04-16 15:59:59
2025-04-16 16:00:00,2835.59,2853.91,2854.26,2830.76,8839673093.46,0,2025-04-16 16:00:00,2025-04-16 16:59:59
2025-04-16 17:00:00,2853.97,2866.16,2870.39,2848.21,10597409804.759995,0,2025-04-16 17:00:00,2025-04-16 17:59:59
2025-04-16 18:00:00,2866.11,2861.83,2868.71,2859.09,5093870233.940002,0,2025-04-16 18:00:00,2025-04-16 18:54:01
2025-04-17 09:00:00,2863.2,2863.83,2864.06,2860.21,469130582.66,0,2025-04-17 09:00:00,2025-04-17 09:59:59
2025-04-17 10:00:00,2863.72,2860.25,2865.5,2851.45,5682447304.46,0,2025-04-17 10:00:00,2025-04-17 10:59:59
2025-04-17 11:00:00,2860.27,2869.72,2873.06,2855.71,7784124487.63,0,2025-04-17 11:00:00,2025-04-17 11:59:59
2025-04-17 12:00:00,2869.75,2859.73,2869.92,2857.11,4941624273.029999,0,2025-04-17 12:00:00,2025-04-17 12:59:59
2025-04-17 13:00:00,2859.86,2862.94,2868.31,2856.49,4039253656.1800003,0,2025-04-17 13:00:00,2025-04-17 13:59:59
2025-04-17 14:00:00,2862.93,2871.52,2873.49,2861.55,5170266722.490002,0,2025-04-17 14:00:00,2025-04-17 14:59:59
2025-04-17 15:00:00,2871.54,2876.77,2884.76,2871.54,8733826150.59,0,2025-04-17 15:00:00,2025-04-17 15:59:59
